WKT,nom,description
"POINT (-75.6865406 45.4134409)",,Point 374
"POINT (-75.6955905 45.4069986)",,Point 375
"POINT (-75.6956763 45.406848)",,Point 376
"POINT (-75.6934877 45.4078423)",,Point 377
"POINT (-75.6934877 45.4075334)",,Point 378
"POINT (-75.6911702 45.4079628)",,Point 379
"POINT (-75.6930698 45.4045916)",,Point 380
"POINT (-75.6958164 45.4043807)",,Point 381
"POINT (-75.6879414 45.4058571)",,Point 382
"POINT (-75.6880273 45.4048477)",,Point 383
"POINT (-75.6892933 45.4045615)",,Point 384
"POINT (-75.6890572 45.4042074)",,Point 385
"POINT (-75.6888427 45.4038986)",,Point 386
"POINT (-75.6886925 45.4034993)",,Point 387
"POINT (-75.6885423 45.4033185)",,Point 388
"POINT (-75.688435 45.403183)",,Point 389
"POINT (-75.6903662 45.4065425)",,Point 390
"POINT (-75.6902589 45.4062939)",,Point 391
"POINT (-75.6901623 45.406068)",,Point 392
"POINT (-75.6900443 45.4058797)",,Point 393
"POINT (-75.6899585 45.4057215)",,Point 394
"POINT (-75.689937 45.4056537)",,Point 395
"POINT (-75.6898834 45.4055784)",,Point 396
"POINT (-75.6898941 45.405488)",,Point 397
"POINT (-75.6898083 45.4054578)",,Point 398
"POINT (-75.6897653 45.4053448)",,Point 399
"POINT (-75.6897332 45.4052168)",,Point 400
"POINT (-75.6897332 45.4052168)",,Point 401
"POINT (-75.6896259 45.4050435)",,Point 402
"POINT (-75.6894649 45.4048778)",,Point 403
"POINT (-75.6907739 45.407243)",,Point 404
"POINT (-75.6906451 45.4069719)",,Point 405
"POINT (-75.6897467 45.4059776)",,Point 406
"POINT (-75.6898218 45.405955)",,Point 407
"POINT (-75.6898218 45.405955)",,Point 408
"POINT (-75.6902295 45.4058194)",,Point 409
"POINT (-75.6908733 45.4055106)",,Point 410
"POINT (-75.6907231 45.4055859)",,Point 411
